ft1,ft4,ft5,ft10,dtsk11,ft13,dtsk14,class
78,157,156,62,78,156,79,2
63,125,219,63,46,94,94,1
32,31,187,109,78,16,63,1
78,125,234,63,46,31,94,1
109,94,187,63,63,78,63,2
47,63,62,78,78,78,47,2
62,94,140,63,63,47,63,2
47,47,32,141,125,109,109,1
16,0,78,110,94,140,125,1
0,47,79,141,125,0,109,1
47,0,78,94,47,94,63,2
15,78,47,62,46,94,63,2
47,0,15,94,47,31,63,2
15,16,62,47,63,110,156,1
15,78,15,109,32,15,78,1
31,16,0,47,63,141,156,1
47,16,15,62,109,109,110,1
16,32,16,93,141,78,78,1
110,16,47,62,109,15,110,1
78,109,78,78,78,94,78,1
15,47,15,62,109,78,94,1
375,109,47,78,78,484,78,1
79,62,31,78,62,78,93,2
125,78,31,94,16,78,78,2
31,62,0,78,62,94,93,2
47,31,32,16,47,78,16,1
156,156,625,94,62,78,0,1
156,31,193,16,47,79,16,1
15,31,31,47,31,109,47,1
31,110,0,93,47,94,93,1
62,31,720,47,31,63,47,1
62,172,31,60,63,94,62,1
47,62,250,78,63,78,62,1
62,172,188,60,63,141,62,1
