,dtfk1,ft1,dtsk1,dtfk2,ft2,dtsk2,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,dtsk14,sum,class
173,79,31,62,31,156,344,46,110,62,94,31,79,94,31,125,62,16,62,78,16,94,78,78,78,609,94,62,31,62,79,125,62,109,110,15,94,62,32,78,94,16,78,3749,2
177,94,31,78,78,125,79,79,46,79,79,15,140,140,47,90,78,62,94,109,0,62,110,93,47,94,46,140,47,63,78,94,94,47,78,0,78,16,78,0,94,16,78,2996,2
178,94,0,63,16,62,94,62,579,78,78,32,94,0,16,93,78,172,31,31,140,16,78,63,78,31,125,0,63,78,78,78,94,78,94,78,31,78,15,79,62,16,94,3220,2
179,62,16,78,78,94,63,62,32,78,79,15,140,0,63,125,0,63,31,62,31,78,109,78,94,781,94,31,47,63,78,94,94,47,78,0,78,94,15,110,94,16,78,3423,2
180,63,343,63,63,219,46,46,188,47,47,62,78,78,125,79,47,156,63,62,16,62,156,156,94,62,157,78,94,62,156,63,109,62,110,234,31,47,78,110,62,31,47,3952,2
181,63,0,78,125,47,47,47,94,47,93,47,63,125,62,141,156,47,141,110,62,47,78,125,63,156,63,125,32,125,47,62,125,63,140,63,94,16,78,47,47,47,62,3300,2
182,203,47,16,63,203,16,62,94,47,47,62,78,79,46,110,78,47,156,62,16,62,47,63,140,922,62,110,94,62,156,63,109,62,110,234,31,62,47,63,62,31,47,4171,2
183,140,31,141,141,31,109,109,47,94,94,62,172,172,15,100,78,62,125,94,46,63,94,109,78,94,16,93,78,47,62,141,62,125,110,109,94,16,93,32,94,47,62,3582,2
184,125,32,110,172,16,78,94,31,78,93,32,78,94,46,110,62,141,62,16,141,16,94,109,63,78,62,94,47,94,46,109,31,110,110,78,47,16,78,47,78,62,79,3159,2
185,31,109,16,250,31,94,63,78,94,94,62,172,78,94,125,141,0,78,79,15,94,516,94,110,828,968,16,78,47,62,141,62,125,110,109,94,79,46,94,94,47,62,5580,2
186,63,78,78,78,94,62,62,63,62,62,63,78,78,62,79,62,94,78,63,78,62,78,94,62,62,63,124,109,62,94,78,93,63,63,78,62,47,31,78,63,47,62,3012,2
187,78,62,79,47,109,63,62,63,62,63,78,63,63,125,62,94,188,15,78,125,47,63,125,62,94,157,62,62,78,63,78,94,63,79,93,78,78,47,62,78,62,63,3267,2
188,94,78,78,47,109,63,62,47,78,62,63,78,47,125,63,0,93,94,62,78,63,78,843,79,62,63,78,109,62,94,78,93,63,63,78,62,63,31,125,63,47,62,3780,2
192,109,47,63,63,47,31,31,16,78,78,47,125,125,47,47,110,62,47,93,16,78,78,16,78,594,78,94,15,78,78,47,63,109,16,110,62,16,47,94,78,0,31,3142,2
193,47,16,78,31,78,78,78,16,110,16,93,32,484,500,47,78,94,0,609,47,16,16,63,31,110,31,93,31,63,78,31,62,79,78,109,62,0,94,16,16,94,16,3721,2
194,94,156,0,32,78,47,78,0,110,78,47,125,0,47,62,78,31,110,31,78,94,78,0,78,0,547,609,15,78,78,47,63,109,16,110,62,16,93,78,78,0,31,3562,2
195,94,32,109,109,703,78,78,94,62,62,157,78,78,172,62,63,93,94,79,78,93,94,109,63,125,141,266,141,62,79,79,78,78,78,63,93,94,15,94,62,31,79,4392,2
