,dtfk1,ft1,dtsk1,dtfk2,ft2,dtsk2,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,dtsk14,sum,class
107,62,797,94,78,94,62,47,235,62,78,234,94,141,203,109,219,78,125,78,375,47,62,78,94,110,141,78,78,78,78,63,140,94,78,828,78,62,375,63,63,219,78,6250,1
108,93,32,93,93,63,94,94,78,62,62,110,250,250,63,63,78,94,78,125,46,0,187,266,93,62,204,344,78,78,63,125,47,63,109,32,93,47,78,78,93,78,63,4202,1
109,78,16,94,94,47,109,62,47,78,78,31,78,125,16,63,63,62,141,78,16,47,62,516,78,94,266,16,63,93,63,125,15,78,94,93,547,0,78,31,62,16,78,3891,1
110,31,172,0,172,93,78,0,16,78,62,110,250,844,938,31,16,46,94,109,32,78,94,78,94,1047,1203,78,78,78,63,125,47,63,109,32,93,78,63,187,93,78,63,7094,1
111,156,0,94,94,16,93,93,16,109,109,32,171,171,16,109,47,125,62,63,62,63,156,78,110,126,109,78,31,47,375,156,47,78,63,16,78,47,78,16,78,31,125,3624,1
112,62,16,94,47,141,16,63,47,47,94,93,47,110,31,109,375,78,78,94,109,47,93,16,125,140,94,78,63,78,78,78,47,125,16,109,0,62,16,62,94,15,94,3281,1
113,47,31,62,109,16,93,63,62,78,109,32,171,94,31,125,15,63,140,62,125,109,125,0,16,1176,94,94,31,47,375,156,47,78,63,16,78,94,62,78,78,31,125,4501,1
114,125,15,110,110,78,78,78,63,93,93,94,78,78,203,63,63,94,187,141,0,78,78,94,78,141,0,203,141,109,63,94,78,94,93,16,78,78,78,78,93,32,62,3703,1
115,187,16,78,93,125,63,94,62,63,78,31,63,0,0,94,63,62,125,94,63,78,93,94,94,94,125,31,234,328,110,110,93,78,94,93,32,78,32,62,94,31,78,3610,1
116,78,31,78,63,109,62,78,63,78,93,94,78,94,171,63,15,78,94,109,16,62,79,110,94,78,93,94,141,109,63,94,78,94,93,16,78,78,16,78,93,32,62,3280,1
