@relation 'gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,8,9,11,14,15,16,17,18,21,22,25,26,27,29,31,34,36,37,38,39,42,43'

@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
62,109,78,78,46,16,78,63,265,78,46,32,32,78,15,1
16,94,94,78,172,116,141,46,31,79,47,94,46,78,47,1
31,109,78,62,32,31,62,126,265,78,46,32,32,78,15,1
62,78,141,141,78,16,110,78,47,94,125,78,16,79,78,1
31,78,62,172,109,63,94,78,63,79,110,78,93,94,31,1
47,78,141,125,94,15,93,110,47,94,125,78,16,79,78,1
32,63,62,62,62,110,110,78,78,79,140,47,15,78,16,1
47,62,93,78,94,203,156,94,47,47,94,62,47,63,47,1
125,63,62,63,78,31,78,125,78,79,140,47,15,78,16,1
141,78,328,328,47,78,47,250,62,344,234,63,125,78,31,1
109,46,31,0,140,235,515,63,62,78,93,63,78,62,281,1
78,78,328,0,109,141,125,94,62,344,234,63,125,78,31,1
156,109,172,172,79,78,156,94,110,78,63,141,47,78,78,2
15,156,78,0,109,94,109,94,78,63,47,62,94,109,172,2
78,109,172,0,93,172,125,109,110,78,63,141,47,78,78,2
282,78,94,94,63,218,109,62,78,78,140,94,828,63,219,1
297,62,62,93,78,250,47,78,62,62,140,78,62,78,204,1
797,78,94,141,78,375,78,94,78,78,140,94,828,63,219,1
32,62,250,250,125,46,266,93,78,63,47,63,32,93,78,1
16,78,78,125,78,16,516,78,63,63,15,78,93,62,16,1
172,62,250,844,109,32,78,94,78,63,47,63,32,93,78,1
0,109,171,171,63,62,78,110,31,375,47,78,16,78,31,1
16,94,47,110,94,109,16,125,63,78,47,125,109,94,15,1
31,109,171,94,62,125,0,16,31,375,47,78,16,78,31,1
15,93,78,78,141,0,94,78,141,63,78,94,16,93,32,1
16,78,63,0,94,63,94,94,234,110,93,78,93,94,31,1
31,93,78,94,109,16,110,94,141,63,78,94,16,93,32,1
32,93,187,187,63,31,94,94,16,78,78,47,15,109,16,2
32,62,62,110,47,117,47,156,47,63,31,63,172,63,46,2
