ft1,dtsk1,dtfk4,dtsk4,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,ft10,dtsk10,ft11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,class
94,94,94,62,125,234,78,94,94,62,641,78,94,78,47,109,78,140,32,93,78,63,109,1
93,32,94,156,94,93,94,125,62,109,94,78,63,234,63,157,94,63,109,156,94,203,140,1
47,172,94,250,47,94,15,62,47,62,47,63,62,78,141,31,78,16,16,78,63,31,78,2
15,109,78,16,47,78,172,47,125,16,94,15,63,78,94,31,63,125,16,78,63,31,110,2
93,16,94,250,47,78,31,94,203,78,91,63,62,78,141,31,78,16,110,15,63,31,78,2
16,93,62,110,110,78,235,78,109,79,125,297,78,235,31,141,282,109,344,62,93,32,109,1
32,93,94,94,141,235,78,16,125,344,125,78,94,94,31,140,141,15,62,94,94,62,94,1
141,62,62,110,109,16,63,125,188,109,94,297,78,235,31,141,282,109,94,141,93,32,109,1
32,109,63,109,62,31,141,46,47,63,63,94,47,94,16,31,47,125,15,78,62,32,78,1
15,94,78,31,62,94,78,78,63,15,93,78,63,62,47,94,78,110,62,31,63,47,94,1
63,62,63,109,63,16,31,62,16,79,78,94,47,94,16,31,47,125,94,46,62,32,78,1
16,109,78,109,63,32,140,62,32,78,62,16,188,359,47,16,47,62,16,78,47,46,63,2
359,94,62,47,94,359,78,31,47,16,62,62,63,94,15,62,156,16,16,78,63,47,47,2
78,16,78,109,94,59,32,125,78,78,62,16,188,359,47,16,47,62,47,15,47,46,63,2
15,82,118,91,144,63,62,31,78,16,125,156,47,78,94,187,343,125,110,31,94,15,125,1
188,62,110,63,94,78,78,219,16,110,16,79,78,93,125,78,125,250,110,15,156,15,109,1
15,110,118,91,125,16,93,156,16,78,171,156,47,78,94,187,343,125,109,16,94,15,125,1
31,78,94,63,63,78,94,62,32,46,31,78,15,79,109,140,16,62,79,15,15,47,16,1
16,62,78,62,78,79,62,78,31,79,15,63,62,125,79,78,172,15,63,47,109,16,79,1
31,63,94,63,79,31,63,110,172,16,110,78,15,79,109,140,16,62,79,78,15,47,16,1
437,94,94,140,62,94,141,93,16,94,94,125,63,109,94,62,94,109,125,78,78,78,62,2
15,94,94,78,62,109,62,31,109,125,94,78,78,63,109,62,78,78,16,78,78,63,78,2
