@relation 'gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,6,8,9,11,13,14,16,17,19,20,23,25,27,29,33,42,43'

@attribute dtfk1 numeric
@attribute ft2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
93,16,109,110,78,94,94,78,62,94,109,63,109,94,78,109,78,63,78,31,78,78,47,1
156,94,79,94,94,94,47,78,78,109,94,109,94,94,125,78,594,125,94,172,94,93,47,1
125,141,93,141,390,110,38,219,109,94,94,46,985,203,62,47,172,359,125,94,141,78,110,1
38,47,594,172,31,187,140,125,94,62,78,94,109,16,110,157,282,15,344,406,16,156,313,1
16,141,219,141,390,140,31,94,94,157,109,46,985,203,62,47,172,359,391,31,109,78,110,1
94,31,141,94,156,93,78,110,94,109,78,78,234,234,63,109,94,63,62,125,94,94,203,1
78,63,128,94,62,125,94,62,641,108,62,78,78,156,47,141,78,140,32,93,47,78,63,1
125,62,110,94,156,94,94,109,94,141,94,78,234,234,63,109,94,63,109,156,63,94,203,1
109,31,78,94,250,47,63,62,47,47,31,63,78,32,141,16,78,16,16,78,47,63,31,2
63,62,94,78,16,47,47,16,94,49,31,15,78,31,94,968,63,125,16,78,16,63,31,2
32,188,62,94,250,47,141,78,91,968,797,63,78,32,141,16,78,16,110,15,93,63,31,2
141,172,94,62,110,110,93,79,125,109,47,297,235,297,31,93,282,109,344,62,360,93,32,1
93,31,93,94,94,141,250,344,125,125,157,78,94,172,31,78,141,15,62,94,344,94,62,1
234,16,79,62,110,109,218,109,94,78,1313,297,235,297,31,93,282,109,94,141,266,93,32,1
62,234,78,63,109,62,63,63,63,78,78,94,94,109,16,94,47,125,15,78,47,62,32,1
63,16,79,78,31,62,78,15,93,62,62,78,62,94,47,109,78,110,62,31,63,63,47,1
78,203,63,63,109,63,94,79,78,109,62,94,94,109,16,94,47,125,94,46,47,62,32,1
62,16,62,78,109,63,47,78,62,94,47,16,359,218,47,16,47,62,16,78,16,47,46,2
47,15,63,62,47,94,47,16,62,78,93,62,94,94,15,94,156,16,16,78,15,63,47,2
63,203,78,78,109,94,79,78,62,94,766,16,359,218,47,16,47,62,47,15,94,47,46,2
141,121,102,118,91,144,109,16,125,93,125,156,78,110,94,110,343,125,110,31,125,94,15,1
109,78,16,110,63,94,157,110,16,109,125,79,93,94,125,125,125,250,110,15,109,156,15,1
125,78,16,118,91,125,110,78,171,125,110,156,78,110,94,110,343,125,109,16,125,94,15,1
94,94,78,94,63,63,78,46,31,94,78,78,79,63,109,78,16,62,79,15,47,15,47,1
78,94,156,78,62,78,78,79,15,172,63,63,125,78,79,109,172,15,63,47,78,109,16,1
140,78,46,94,63,79,109,16,110,109,109,78,79,63,109,78,16,62,79,78,62,15,47,1
172,94,78,94,140,62,219,94,94,78,125,125,109,62,94,78,94,109,125,78,94,78,78,2
219,16,94,94,78,62,110,125,94,78,46,78,63,94,109,109,78,78,16,78,46,78,63,2
140,31,94,94,140,78,94,78,62,109,63,125,109,62,94,78,94,109,78,94,78,78,78,2
57,168,69,90,80,110,192,79,79,80,297,47,78,69,111,63,78,109,81,37,78,33,69,2
192,80,98,78,78,65,187,81,94,78,94,58,150,78,94,141,62,141,79,13,85,78,63,2
74,136,79,90,80,103,172,31,47,141,258,47,78,69,111,63,78,109,78,15,94,33,69,2
125,125,63,109,78,47,172,63,125,63,172,265,78,141,46,62,32,109,41,65,78,78,15,1
172,31,62,94,94,203,110,41,63,46,109,31,79,156,47,126,46,219,47,63,62,78,47,1
94,62,63,109,78,110,63,62,94,126,94,265,78,141,46,62,32,109,46,47,94,78,15,1
78,125,78,78,141,125,203,94,109,78,16,47,94,94,125,187,16,94,109,32,109,79,78,1
203,125,32,78,62,94,125,109,78,78,79,63,79,78,110,110,93,32,78,16,93,94,31,1
78,125,94,78,141,125,109,63,63,110,62,47,94,94,125,187,16,94,63,62,47,79,78,1
62,125,47,63,62,62,78,78,78,78,140,78,79,79,140,63,15,78,47,94,63,78,16,1
78,110,78,62,93,62,125,47,78,94,62,47,47,109,94,125,47,78,47,47,62,63,47,1
63,94,78,63,62,78,141,63,63,125,171,78,79,79,140,63,15,78,78,62,63,78,16,1
94,157,47,78,328,172,313,125,422,250,94,62,344,140,234,47,125,78,62,125,125,78,31,1
313,47,141,46,31,172,140,62,359,63,188,62,78,16,93,94,78,62,156,16,78,62,281,1
78,47,125,78,328,172,62,62,94,94,47,62,344,140,234,47,125,78,79,31,109,78,31,1
110,31,94,109,172,109,94,78,109,94,109,110,78,156,63,78,47,125,15,63,78,78,78,2
94,125,78,156,78,109,62,15,110,94,78,78,63,110,47,109,94,62,410,94,62,109,172,2
187,15,78,109,172,109,141,94,141,109,94,110,78,156,63,78,47,125,125,266,109,78,78,2
93,94,78,78,94,94,63,47,79,62,156,78,78,63,140,78,828,78,78,297,78,63,219,1
63,141,78,62,62,109,203,78,93,78,62,62,62,78,140,94,62,344,94,484,79,78,204,1
62,94,47,78,94,109,125,47,62,94,141,78,78,63,140,78,828,78,62,375,63,63,219,1
93,63,94,62,250,63,78,0,187,93,204,78,63,125,47,109,32,93,47,78,78,93,78,1
78,47,62,78,78,63,141,47,62,78,266,63,63,125,15,94,93,547,0,78,31,62,16,1
31,93,0,62,250,31,94,78,94,94,1203,78,63,125,47,109,32,93,78,63,187,93,78,1
156,16,93,109,171,109,62,63,156,110,109,31,375,156,47,63,16,78,47,78,16,78,31,1
62,141,63,94,47,109,78,47,93,125,94,63,78,78,47,16,109,0,62,16,62,94,15,1
47,16,63,109,171,125,140,109,125,16,94,31,375,156,47,63,16,78,94,62,78,78,31,1
125,78,78,93,78,63,187,78,78,78,0,141,63,94,78,93,16,78,78,78,78,93,32,1
187,125,94,78,63,94,125,78,93,94,125,234,110,110,93,94,93,32,78,32,62,94,31,1
78,109,78,93,78,63,94,62,79,94,93,141,63,94,78,93,16,78,78,16,78,93,32,1
93,47,63,93,187,78,125,78,78,94,110,16,78,94,78,63,15,78,20,88,78,109,16,2
125,125,94,62,62,78,78,20,94,156,78,47,63,94,31,109,172,15,32,32,421,63,46,2
78,32,78,93,187,63,94,78,94,109,94,16,78,94,78,63,15,78,125,15,125,109,16,2
62,109,63,78,62,47,62,47,94,63,109,547,1015,79,125,63,203,62,62,188,46,47,47,2
62,125,47,62,78,78,125,62,63,63,94,31,62,93,110,188,62,485,47,172,63,63,62,2
31,125,47,78,62,109,125,47,63,188,171,547,1015,79,125,63,203,62,63,125,78,47,47,2
125,203,109,109,78,78,110,63,62,47,172,94,110,47,156,94,265,94,63,422,78,93,94,1
110,62,78,78,93,78,610,63,109,109,94,93,63,78,109,156,94,140,93,547,94,110,125,1
94,109,63,109,78,94,156,78,109,156,188,94,110,47,156,94,265,94,93,203,63,93,94,1
63,125,47,63,156,63,62,78,141,172,63,78,73,78,31,79,15,110,78,78,47,62,31,1
62,140,63,47,47,656,16,78,78,62,109,62,63,140,0,47,110,62,31,47,63,63,31,1
78,94,78,63,156,94,15,63,78,47,891,78,73,78,31,79,15,110,78,172,78,62,31,1
109,47,109,47,438,46,94,94,110,79,32,94,78,109,125,109,16,78,15,78,31,78,0,1
94,63,78,78,78,46,78,15,63,47,125,63,78,125,31,687,94,78,32,110,31,78,31,1
78,31,94,47,438,94,46,94,0,687,844,94,78,109,125,109,16,78,94,62,63,78,0,1
125,46,125,93,594,140,93,62,125,63,16,47,78,47,62,125,16,93,0,125,62,78,32,1
93,31,78,109,78,141,109,0,78,109,0,62,62,125,62,172,78,94,94,15,63,94,47,1
156,47,62,93,594,109,109,94,109,172,1078,47,78,47,62,125,16,93,93,125,94,78,32,1
62,110,47,31,63,79,172,78,78,78,156,63,93,78,78,78,172,78,63,78,63,46,79,1
172,94,78,79,47,94,125,63,78,109,63,62,63,78,94,125,62,47,63,125,31,62,63,1
62,78,78,31,63,94,109,62,62,125,141,63,93,78,78,78,172,78,78,62,32,46,79,1
93,16,172,79,225,110,78,78,15,94,93,47,109,78,63,47,15,62,32,93,16,94,47,1
78,47,109,78,62,0,172,32,109,125,94,78,78,79,78,110,94,78,78,0,63,15,62,1
78,63,78,79,225,141,62,172,47,110,78,47,109,78,63,47,15,62,47,78,47,94,47,1
63,93,63,93,140,109,62,94,78,62,109,47,141,78,94,47,78,62,47,109,47,93,63,1
